줄임말,풀네임,카카오검색어
60주년기념관,60주년기념관,강원대학교 60주년기념관
인3호관,인문대학 3호관,강원대학교 인문대학 3호관
인1호관,인문대학 1호관,강원대학교 인문대학 1호관
사회과학2호관,사회과학2호관,강원대학교 사회과학2호관
자5호관,자연과학대학 5호관,강원대학교 자연과학대학 5호관
율곡관(기숙사)식당동 101,율곡관(기숙사)식당동 101,강원대학교 율곡관(기숙사)식당동 101
율곡관(기숙사)식당동 102,율곡관(기숙사)식당동 102,강원대학교 율곡관(기숙사)식당동 102
율곡관(기숙사)식당동 001,율곡관(기숙사)식당동 001,강원대학교 율곡관(기숙사)식당동 001
율곡관(기숙사)식당동 004,율곡관(기숙사)식당동 004,강원대학교 율곡관(기숙사)식당동 004
율곡관(기숙사)식당동 108,율곡관(기숙사)식당동 108,강원대학교 율곡관(기숙사)식당동 108
율곡관(기숙사)식당동 103,율곡관(기숙사)식당동 103,강원대학교 율곡관(기숙사)식당동 103
율곡관(기숙사)식당동 003,율곡관(기숙사)식당동 003,강원대학교 율곡관(기숙사)식당동 003
율곡관(기숙사)식당동 002,율곡관(기숙사)식당동 002,강원대학교 율곡관(기숙사)식당동 002
공1호관,공과대학 1호관,강원대학교 공과대학 1호관
미래관,미래관,강원대학교 미래관
공2호관,공과대학 2호관,강원대학교 공과대학 2호관
자2호관,자연과학대학 2호관,강원대학교 자연과학대학 2호관
공3호관,공과대학 3호관,강원대학교 공과대학 3호관
경영2호관,경영대학 2호관,강원대학교 경영대학 2호관
자4호관,자연과학대학 4호관,강원대학교 자연과학대학 4호관
자1호관,자연과학대학 1호관,강원대학교 자연과학대학 1호관
동물생명2호관,동물생명2호관,강원대학교 동물생명2호관
동물생명1호관,동물생명1호관,강원대학교 동물생명1호관
의생명B호관,의생명과학관,강원대학교 의생명과학관
의생명A호관,의생명과학관,강원대학교 의생명과학관
교육1호관,교육1호관,강원대학교 교육1호관
자3호관,자연과학대학 3호관,강원대학교 자연과학대학 3호관
공5호관,공과대학 5호관,강원대학교 공과대학 5호관
인2호관,인문대학 2호관,강원대학교 인문대학 2호관
영상바이오관,영상바이오관,강원대학교 영상바이오관
국제교류처,국제교류처,강원대학교 국제교류처
법학관,법학관,강원대학교 법학관
사회과학1호관,사회과학1호관,강원대학교 사회과학1호관
경영1호관,경영대학 1호관,강원대학교 경영대학 1호관
글로벌경영관,글로벌경영관,강원대학교 글로벌경영관
농2호관,농업생명대학 2호관,강원대학교 농업생명대학 2호관
농1호관,농업생명대학 1호관,강원대학교 농업생명대학 1호관
산1호관,산림환경대학 1호관,강원대학교 산림환경대학 1호관
예술2호관,문화예술대학 2호관,강원대학교 문화예술대학 2호관
의학2호관,의과대학 2호관,강원대학교 의과대학 2호관
백령스포츠센터,백령스포츠센터,강원대학교 백령스포츠센터
실습.훈련장,실습.훈련장,강원대학교 실습.훈련장
실습.훈련장 체육관(구실내체육관),실습.훈련장 체육관(구실내체육관),강원대학교 실습.훈련장 체육관(구실내체육관)
실습.훈련장 교외볼링장(세경),실습.훈련장 교외볼링장(세경),강원대학교 실습.훈련장 교외볼링장(세경)
서암관,서암관,강원대학교 서암관
예술1호관,문화예술대학 1호관,강원대학교 문화예술대학 1호관
농3호관,농업생명대학 3호관,강원대학교 농업생명대학 3호관
공6호관,공과대학 6호관,강원대학교 공과대학 6호관
교육3호관,교육3호관,강원대학교 교육3호관
교육4호관,교육4호관,강원대학교 교육4호관
산2호관,산림환경대학 2호관,강원대학교 산림환경대학 2호관
수의학관,수의학관,강원대학교 수의학관
혁신제약임상연구동,혁신제약임상연구동,강원대학교 혁신제약임상연구동
집현관,집현관,강원대학교 집현관
의생명B호관 ,의생명과학관,강원대학교 의생명과학관
한빛관,한빛관,강원대학교 한빛관
아산관,아산관,강원대학교 아산관
학군단,학군단,강원대학교 학군단
공4호관,공과대학 4호관,강원대학교 공과대학 4호관
집중교육 ,집중교육 ,강원대학교 집중교육 
집중교육,집중교육,강원대학교 집중교육
동물병원,동물병원,강원대학교 동물병원
약학관,약학관,강원대학교 약학관
의학1호관,의과대학 1호관,강원대학교 의과대학 1호관
실습.훈련장 병원,실습.훈련장 병원,강원대학교 실습.훈련장 병원
GEM홀,GEM홀,강원대학교 GEM홀
태백관,태백관,강원대학교 태백관
정보통신연구소,정보통신연구소,강원대학교 정보통신연구소
평생교육원,평생교육원,강원대학교 평생교육원
